Tree,Station,Azimuth,HD,VD_to_box,SF_box_ht,VD_to_base,Note,,,,,,,,
ET1,S1,25,1.6,1.2,16,17.2,,,,,,,,Azimuth,Azimuth from central stem
ET1,S2,128,1.1,0.6,16,16.6,,,,,,,,HD,Horizontal distance from central stem
ET1,S4,X,X,0.5,16,16.5,"More exposed than S1, because center of tree is quite open",,,,,,,VD_to_box,"Vertical distance from sapflow box, above or below"
ET2,S1,105,3.37,0.36,19,19.36,,,,,,,,SF_box_ht,"VD from sapflow box to tree base, copied over from the sapflow station . Tree level value"
ET2,S2,191,5.43,-0.56,19,18.44,,,,,,,,VD_to_base,"Previous two summed together, to give overall sensor VD to base"
ET2,S3,250,2.93,0.16,19,19.16,"Removed, but very near cable 4. Just used cable 4's measurements here",,,,,,,,
ET2,S4,154,1.69,0.29,19,19.29,,,,,,,,,
ET3,S1,346,6,1.5,21,22.5,,,,,,,,,
ET3,S2,58,5.5,1.2,21,22.2,,,,,,,,,
ET3,S3,218,4.4,2.2,21,23.2,,,,,,,,,
ET3,S4,X,X,,21,21,,,,,,,,,
ET3,S5,235,6.1,5.2,21,26.2,,,,,,,,,
ET4,S1,2,4.7,1.8,20,21.8,,,,,,,,,
ET4,S2,72,1.7,1.8,20,21.8,,,,,,,,,
ET4,S3,316,2.8,2.3,20,22.3,,,,,,,,,
ET4,S4,282,2,2.2,20,22.2,"On the main leader, but outside the triangle formed by S1-S3. This conflicts with numbering in ET1",,,,,,,,
ET4,S5,2,5.5,4.5,20,24.5,,,,,,,,,
ET5,S1,75,2.79,0.52,17,17.52,,,,,,,,,
ET5,S2,106,3.58,-0.57,17,16.43,,,,,,,,,
ET5,S3,X,X,X,17,17,,,,,,,,,
ET5,S4,191,0.83,0,17,17,,,,,,,,,
ET6,S1,60,3.1,0,14,14,,,,,,,,,
ET6,S2,165,3.5,0,14,14,,,,,,,,,
ET6,S3,266,3.7,1,14,15,,,,,,,,,
ET6,S4,120,0.3,1,14,15,,,,,,,,,
ET7,S1,147,7.3,0.9,21,21.9,,,,,,,,,
ET7,S2,186,4.5,2.5,21,23.5,,,,,,,,,
ET7,S3,282,6,2,21,23,,,,,,,,,
ET7,S4,351,1.53,0.96,21,21.96,,,,,,,,,
ET7,S5,172,2.66,11.11,21,32.11,,,,,,,,,
ET8,S1,1,3.15,0.32,28,28.32,,,,,,,,,
ET8,S2,158,4.13,1.85,28,29.85,,,,,,,,,
ET8,S3,255,5.28,3.3,28,31.3,,,,,,,,,
ET8,S4,285,3.13,2.57,28,30.57,,,,,,,,,
ET8,S5,301,3.54,10.2,28,38.2,,,,,,,,,
FB1,S1,12,2.5,1.5,9,10.5,,,,,,,,,
FB1,S2,114,4.2,2.7,9,11.7,,,,,,,,,
FB1,S3,232,4.3,1.8,9,10.8,,,,,,,,,
FB1,S4,148,0.98,-0.28,9,8.72,,,,,,,,,
FB2,S1,338,3.8,-0.7,10,9.3,,,,,,,,,
FB2,S2,137,4.1,-1.5,10,8.5,,,,,,,,,
FB2,S3,213,3.2,0.4,10,10.4,,,,,,,,,
FB2,S4,X,X,0.3,10,10.3,,,,,,,,,
FB3,S1,120,,,17,17,,,,,,,,,
FB3,S2,194,4.3,1.3,17,18.3,Near C2,,,,,,,,
FB3,S3,259,1.9,1.6,17,18.6,,,,,,,,,
FB3,S4,X,X,-1.5,17,15.5,,,,,,,,,
FB4,S1,6,1.5,0.5,18,18.5,,,,,,,,,
FB4,S2,50,0.9,1.9,18,19.9,,,,,,,,,
FB4,S3,244,1.7,-0.7,18,17.3,,,,,,,,,
FB4,S4,X,0,0.5,18,18.5,,,,,,,,,
FB5,S1,27,3.3,0.4,20,20.4,,,,,,,,,
FB5,S2,174,1.5,1.4,20,21.4,,,,,,,,,
