Tree,Cable,Location,Azimuth,HD,VD,Distance.to.base,Distance.to.leaves,Diameter.branch,Thickness.bark,Notes.field,Notes.post,Definitions.units
ET1,1,Branch,21,0.2,3.2,,2.4,14,0.5,,,"Discombobulated: Sensors look misaligned for whatever reason. Could have been a bad install, or they could have shifted over time"
ET1,2,Branch,25,0.2,2.1,,1.1,13,0.5,,,Deeper sensor: Enough growth so that the sensors are noticeable deeper in the wood. ~ 5mm or more
ET1,3,Branch,166,0.6,0.6,,3.5,16.1,1.4,,,Shallow install: Looks like not enough phloem was scraped away on the install
ET1,4,Trunk,,,,10.85,,,,,,Azimuth: Degrees
ET1,5,Trunk,,,,10.85,,39,1.3,,,HD: Horizontal distance to sapflow box (meters)
ET2,1,Branch,313,2.3,2.8,,5.32,16.5,0.9,,,VD: Vertical distance to sapflow box (meters)
ET2,2,Branch,152,3.5,0.3,,4.93,22.7,1.5,,,Distance.to.base: SD measurement from the sensor to the tree base. Only done on trunk sensors (m)
ET2,3,Branch,192,2.8,0.4,,3.17,14.4,1,Growth around sensors,Discombobulated,Distance.to.leaves: SD measurement from sensor to the closest leaves. Only done on branch sensors (m)
ET2,4,Branch,262,1.6,0.2,,3.44,10.1,0.7,Growth around sensors,,Diameter.branch: cm
ET2,5,Trunk,,,,13.89,,,,Lots of growth around sensors,,Thickness.bark: cm
ET2,6,Trunk,,,,13.89,,45,1.7,Growth around sensors,,Notes.field: Notes taken by the guys in the field while pulling the sensors
ET3,1,Branch,348,5.5,2.3,,5.28,12,0.9,,,Notes.post: Notes taken by Damon after looking at pics or reviewing other notes
ET3,2,Branch,348,2.6,4.2,,4.87,13.5,0.9,,,
ET3,3,Branch,76,6.3,1.8,,2.3,10.9,0.7,Growth pushing sensors out,,
ET3,4,Branch,138,3.6,2.7,,4.34,14.3,1.3,,,
ET3,5,Branch,230,3.8,2.4,,4.33,13.1,1.2,,,
ET3,6,Branch,115,3.6,5.5,,4.57,13.2,0.7,,,
ET3,7,Trunk,,,,14.3,,76.4,5,Lots of growth around sensors,,
ET3,8,Trunk,,,,14.3,,,,,,
ET4,1,Branch,2,4.8,1.6,,5.18,17.3,1,,,
ET4,2,Branch,82,2.9,2.2,,3.19,21.4,1.3,,,
ET4,3,Branch,154,0.7,1.3,,2.93,18.4,1.2,,,
ET4,4,Branch,288,1.5,0,,3.8,16,1,Growth pushing sensor out (only upper),Discombobulated,
ET4,5,Epiphyte,312,4.5,2.6,,8.15,31.5,1.4,,,
ET4,6,Trunk,,,,12.58,,82.2,1.6,,,
ET4,7,Trunk,,,,12.58,,,,"Lots of growth around sensors, but not pushing them out",Deeper sensor,
ET5,1,Branch,75,1.65,0.67,,3.73,13.4,1.5,55 NE azimut,,
ET5,2,Branch,106,3.58,-0.57,,3.59,11.5,1.1,,,
ET5,3,Branch,152,0,-0.48,,3.74,13.4,1.4,,,
ET5,4,Branch,330,1.81,-5.82,,3.51,9,0.9,30 NE azimut,,
ET5,5,Trunk,,,,12.46,,,,,,
ET5,6,Trunk,,,,12.46,,31.1,1.6,,,
ET6,1,Branch,60,4.25,0,,5.12,12,1,,,
ET6,2,Branch,116,1.6,1.9,,6.6,13,0.9,,Crack,
ET6,3,Branch,161,3.1,0,,4.02,10.5,0.3,Crack,Crack,
ET6,4,Branch,266,4.2,1.4,,6.73,14.5,0.5,Big crack where sensors are,Crack,
ET6,5,Branch,312,1.3,2.4,,6.22,16.1,1.3,,,
ET6,6,Trunk,,,,11.14,,,,,,
ET6,7,Trunk,,,,11.14,,54.04,0.9,,,
ET7,1,Branch,335,6.2,0.9,,6.42,15.2,1.4,,,
ET7,2,Branch,7,7.5,1.2,,4.55,15,1.5,,,
ET7,3,Branch,202,5.3,2.7,,5.53,10.3,1,,,
ET7,4,Branch,274,6.5,1.9,,5.93,11.4,1.4,,,
ET7,5,Trunk,,,,14.4,,64,2.1,,,
ET7,6,Trunk,,,,14.4,,,,,,
ET8,1,Branch,26,2,0.3,,5.19,19.3,1.3,,,
ET8,2,Branch,38,1.5,-3.4,,4.5,37.5,1.5,,,
ET8,3,Branch,174,,,,,,,,Uninstalled,
ET8,4,Branch,233,2.7,1.9,,8.8,36,2.8,Growth around sensors,,
ET8,5,Branch,294,4.9,4,,5.13,8.8,1.1,,,
ET8,6,Trunk,,,,13.19,,71.8,1.5,,Deeper sensor,
ET8,7,Trunk,,,,13.19,,,,,,
FB1,1,Branch,110,5.7,1.2,,3.44,9.5,0.9,Growth around sensors,,
FB1,2,Branch,160,4.4,2.4,,2.77,9.3,0.8,,,
FB1,3,Branch,220,3.3,0.8,,3.38,6.8,0.7,Growth around sensors,,
FB1,4,Branch,270,3.6,0.3,,3.38,9,1,,,
FB1,5,Branch,350,3.6,-1.5,,2.96,10.2,1,,,
FB1,6,Branch,70,4.3,0,,4.66,14.4,1.1,,,
FB1,7,Trunk,,,,5.72,,43,1.5,,Main trunk much thicker than at sensor location,
FB1,8,Trunk,,,,5.72,,,,,,
FB2,1,Branch,340,3,0,,3.86,5.6,1.1,Growth around sensors,,
FB2,2,Branch,42,2,1,,4.85,12.5,1.1,,,
FB2,3,Branch,137,3,-1,,2.69,12.5,1.2,Growth around sensors,,
FB2,4,Branch,171,3.7,0.3,,3.47,10,1.1,,,
FB2,5,Branch,213,2.7,0.5,,3.96,9.5,1,Lots of growth around sensors,Deeper sensor,
FB2,6,Trunk,,,,7.49,,,,Growth around sensors,Deeper sensor,
FB2,7,Trunk,,,,7.49,,54.3,1.4,,,
FB3,1,Branch,28,2.3,0,,3.05,10.9,0.9,,,
FB3,2,Branch,194,4.3,1.3,,3.3,11.6,1,,,
FB3,3,Branch,282,1.9,1.8,,4.22,10.4,0.9,,,
FB3,4,Trunk,,,,14.38,,34.1,1.9,The sensor was in the trunk,,
FB3,5,Trunk,,,,14.38,,,,,,
FB3,6,Branch,109,2.1,-0.2,,2.76,12.6,0.5,,,
FB4,1,Branch,350,2.1,0.42,,4.81,13.4,1.2,,Shallow install,
FB4,2,Branch,25,1.7,1.2,,3.82,18,1.3,,,
FB4,3,Branch,175,1.7,0.8,,4.49,13,1.5,,,
FB4,4,Branch,270,2.8,2,,2.99,22.3,1.8,,Deeper sensor,
FB4,5,Trunk,,,,15.24,,,1.8,,Dia not measured,
FB4,6,Trunk,,,,15.24,,,,,,
FB5,1,Branch,36,2.4,2.2,,3.46,13.4,0.9,Growth around sensors,,
FB5,2,Branch,192,1.6,1.8,,3.36,11.4,0.9,Growth around sensors,,
FB5,3,Branch,220,1.7,0.1,,4.89,11.9,0.9,,,
FB5,4,Branch,296,2.5,0.4,,2.54,10,0.9,Growth around sensors,,
FB5,5,Trunk,,,,11.96,,,,,,
FB5,6,Trunk,,,,11.96,,54,1.9,,,
FB6,1,Branch,18,3.3,1.6,,3.46,20.7,1.3,,,
FB6,2,Branch,84,3.1,0.9,,3.88,10.6,1.1,,,
FB6,3,Branch,200,4,0.9,,4.72,14.2,1.1,,,
FB6,4,Branch,286,1.6,1.9,,4.21,14.9,1.1,,,
FB6,5,Trunk,,,,12.5,,,,,,
FB6,6,Trunk,,,,12.5,,63,1.7,,,
FB7,1,Branch,15,3.3,0.8,,1.3,10.2,0.5,Growth pushing upper sensor out,Discombobulated,
FB7,2,Branch,62,3.5,1.4,,1.1,10.7,0.6,,,
FB7,3,Branch,127,2.4,2.6,,3.97,13.5,0.9,,,
FB7,4,Branch,228,1.6,1.5,,3.07,13,0.9,,,
