Tree,Site,Site.long,Ground.station,Tree.name,Scientific.name,Family,Forest.or.Pasture,Experimental.or.Control,Lat.approximate,Long.approximate,Description,,,,,,,,,,,,,,,
ET1,ET,El Tigre,ETP2,Truffula Tree,Gordonia brandegeei,Theaceae,Pasture,Experimental,10.377914,-84.828241,"In the open pasture far from the road, along the trail. The first tree you come to",,,,,,,,,,,,,,,
ET2,ET,El Tigre,ETP2,,Gordonia brandegeei,Theaceae,Pasture,Control,10.377897,-84.827789,"In the open pasture far from the road, along the trail. Second tree you come to",,,,,,,,,,,,,,,
ET3,ET,El Tigre,ETP2,Robyn's Tree,Pouteria exfoliata,Sapotaceae,Forest,Experimental,10.379323,-84.829075,"Part of the forest pair that is deep in the woods, rather than alongside the trail (Forest Wild). This is the right-hand (south) tree",,,,,,,,,,,,,,,
ET4,ET,El Tigre,ETP2,The Joker,Macrohasseltia macroterantha,Flacourteaceae,Forest,Control,10.380225,-84.829236,"Part of the forest pair that is deep in the woods, rather than alongside the trail (Forest Wild). This is the left-hand (north) tree",,,,,,,,,,,,,,,
ET5,ET,El Tigre,ETP1,The Toothpick,Pouteria exfoliata,Sapotaceae,Pasture,Experimental,10.379311,-84.82996,"Near a parking spot for moto/quad, a trail leads to this tree. Kind of out by itself",,,,,,,,,,,,,,,
ET6,ET,El Tigre,ETP1,,Ficus citrifolia,Moraceae,Pasture,Control,10.377754,-84.830692,In the open right by the main road and main parking spot. Large crown,,,,,,,,,,,,,,,
ET7,ET,El Tigre,ETP1,,Alfaroa costaricensis,Juglandaceae,Forest,Experimental,10.3776717,-84.8293067,"""Trailside"" Forest tree. This is the first one you come to",,,,,,,,,,,,,,,
ET8,ET,El Tigre,ETP1,,Pouteria exfoliata,Sapotaceae,Forest,Control,10.3776595,-84.8288782,"""Trailside"" Forest tree. This is the second one you come to",,,,,,,,,,,,,,,
FB1,FB,Finca Barpe,FBP1,Mariola,Ficus velutina,Moraceae,Pasture,Experimental,10.363638,-84.824586,The first study trees on the left as you come in on the quad road,,,,,,,,,,,,,,,
FB2,FB,Finca Barpe,FBP1,Spiny bastard,Ficus citrifolia,Moraceae,Pasture,Control,10.363736,-84.824385,The first study trees on the left as you come in on the quad road,,,,,,,,,,,,,,,
FB3,FB,Finca Barpe,FBP2,Lauren's Tree,Pouteria oblanceotata,Sapotaceae,Pasture,Experimental,10.36597,-84.824775,Part of the second pair you come to- Up on a bank above the quad road,,,,,,,,,,,,,,,
FB4,FB,Finca Barpe,FBP2,Bruce's Tree,Pouteria fossicola,Sapotaceae,Pasture,Control,10.366023,-84.82495,"Part of the second pair you come to- Just below the quad road, maybe 40 feet past previous tree",,,,,,,,,,,,,,,
FB5,FB,Finca Barpe,FBP2,El Susto,Pouteria exfoliata,Sapotaceae,Forest,Experimental,10.367877,-84.825590,Part of the first forest pair you come to. Before the trail forks. The one where the big branch broke out on Elena. ,,,,,,,,,,,,,,,
FB6,FB,Finca Barpe,FBP2,Fattie,Daphnopsis americana,Thymelaeaceae,Forest,Control,10.367235,-84.824905,Pair w/previous,,,,,,,,,,,,,,,
FB7,FB,Finca Barpe,FBP2,,Pouteria oblanceotata,Sapotaceae,Forest,Experimental,10.368236,-84.825631,"Down the forest trail, after taking a right at the junction. The farthest pair at FB. ",,,,,,,,,,,,,,,
FB8,FB,Finca Barpe,FBP2,Sybz,Pouteria exfoliata,Sapotaceae,Forest,Control,10.368158,-84.825590,Pair w/previous,,,,,,,,,,,,,,,
TV1,TV,Terra Viva,TVP,El Antiguo,Ficus tuerckheimii,Moraceae,Forest,Experimental,10.3385489,-84.8227039,The pilot tree,,,,,,,,,,,,,,,
TV2,TV,Terra Viva,TVP,El Gigante,Ficus tuerckheimii,Moraceae,Forest,Control,10.3385,-84.822553,,,,,,,,,,,,,,,,
TV3,TV,Terra Viva,TVP,Skeletor,Ficus tuerckheimii,Moraceae,Pasture,Experimental,10.3368623,-84.822632,"Roadside, uphill, very large",,,,,,,,,,,,,,,
TV4,TV,Terra Viva,TVP,Epiphytus,Ficus tuerckheimii,Moraceae,Pasture,Control,10.337347,-84.822549,Pair w/previous,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
